"CONTEXT", "ID", "TEXT"
"BulletinInnerDiploTut","Verification Procedure","Prosedur Verifikasi"
"BulletinInnerDiploTut","Verify issuing country","Cek negara penerbit"
"BulletinInnerDiploTut","Verify identity","Cek Identitas"
"BulletinInnerDiploTut","Verify diplomatic access to Arstotzka","Cek akses diplomatik ke Arstotzka"
"BulletinInnerMissingTut","Missing documents can be correlated by highlighting counter and pertinent entry in rule book.","Ketiadaan dokumen dapat dihubungkan dengan memberi tanda pada konter dan peraturan di buku aturan."
"BulletinInnerRuleTut","Correlate pertinent entry in rule book with violating information to enable further options.","Hubungkan peraturan di buku aturan dengan pelang-garan untuk menggunakan opsi selanjutnya."
"BulletinInnerContraTut","Correlate discovered weapons and contraband with rulebook entry.","Hubungkan penemuan senjata dan barang selundupan dengan peraturan di buku aturan."
"BulletinInnerCorrelateTut","Highlight two pieces of discrepant information from INSPECT mode to enable interrogation.","Tandai dua bagian informasi yang berbeda dari mode INSPEKSI untuk melakukan interogasi."
"BulletinInnerTouchTut","Touch and drag to fine-tune highlighted selection.","Sentuh dan geser untuk memastikan pilihan ditandai"
"BulletinInnerPassportTut","Pay attention to passport nationality.","Perhatikan kewarganegaraan paspor."
"BulletinInnerBoothTut","Arstotzkan<br>Ministry of Admission","Arstotzka<br>Kementerian Imigrasi"
"BulletinInnerBoothTut","Inspector's Booth","Stan Inspektur"
"BulletinInnerBoothTut","Shutter","Penutup"
"BulletinInnerBoothTut","Counter","Konter"
"BulletinInnerBoothTut","Rule Book<br>Audio Transcript<br>Bulletin Storage<br>Time &amp; Date","Buku Aturan<br>Transkrip Suara<br>Tempat Buletin<br>Waktu &amp; Tanggal"
"BulletinInnerBoothTut2","Arstotzkan<br>Ministry of Admission","Arstotzka<br>Kementerian Imigrasi"
"BulletinInnerBoothTut2","Inspector's Booth","Stan Inspektur"
"BulletinInnerBoothTut2","Shutter","Penutup"
"BulletinInnerBoothTut2","Counter","Konter"
"BulletinInnerBoothTut2","Audio Transcript<br>Rule Book<br>Weight<br>","Transkrip Suara<br>Buku Aturan<br>Berat<br>"
"BulletinInnerBoothTut2","Bulletin Storage<br>Time &amp; Date","Tempat Buletin<br>Waktu &amp; Tanggal"
"BulletinInnerGunTut","Weapons Protocol","Protokol Senjata"
"BulletinInnerGunTut","WHEN ALARM SOUNDS","KETIKA ALARM BERBUNYI"
"BulletinInnerGunTut","Drop key on tumbler to unlock weapon.","Masukkan kunci ke lubang untuk menggunakan senjata."
"BulletinInnerGunTut","Select gun, aim and fire.","Pilih senjata, bidik &amp; tembak."
"BulletinInnerGunTut","Time is short. Act fast.","Waktunya pendek. Lakukan dengan cepat."
"BulletinInnerFilerTut","Passport Confiscation","Penyitaan Paspor"
"BulletinInnerFilerTut","Verify ALTAN resident on id.","Cek distrik ALTAN pada kartu."
"BulletinInnerFilerTut","Drop passport in confiscation drawer.","Masukkan paspor pada tempat penyitaan."
"BulletinInnerFilerTut","If arresting, confiscate before detaining.","Jika menangkap, sita sebelum memenjarakan."
"BulletinInnerCriminals","Ministry of Justice","Kementerian Pengadilan"
"BulletinInnerCriminals","WANTED CRIMINALS","BURONAN"
"BulletinInnerNews","NEWS","BERITA"
"BulletinPagesNote","CHECK ALL<br>PAGES","CEK SEMUA<br>HALAMAN"
"CitationInner","M.O.A. CITATION","PERINGATAN DARI K.I."
"DiplomaticAuthInner","Diplomatic<br>Authorization","Otorisasi<br>Diplomatik"
"DiplomaticAuthInner","This document authorizes named agent as a diplomatic entity of a Council of Nations member state.","Dokumen ini memberikan otorisasi pada nama agen di bawah sebagai diplomat dari Forum Dewan Negara."
"DiplomaticAuthInner","AGENT","AGEN"
"DiplomaticAuthInner","PASSPORT","PASPOR"
"DiplomaticAuthInner","Unconditional access to all named Council of Nations member states must be granted upon presentation.","Akses tanpa syarat untuk semua anggota Forum Dewan Negara harus diberikan ke negara di bawah."
"DiplomaticAuthInner","This document has no expiry.","Dokumen ini berlaku selamanya."
"DiplomaticAuthInner","COUNCIL OF NATIONS - SEVEN MEMBER FORUM","FORUM DEWAN TUJUH NEGARA"
"EntryPermitInner","ARSTOTZKA","ARSTOTZKA"
"EntryPermitInner","Entry Permit","Izin Masuk"
"EntryPermitInner","Conditional entry to the sovereign nation of Arstotzka is hereby granted to","Izin masuk bersyarat ke negara Arstotzka yang berdaulat diberikan kepada"
"EntryPermitInner","bearing passport number","dengan nomor paspor"
"EntryPermitInner","Purpose","Tujuan"
"EntryPermitInner","Duration","Durasi"
"EntryPermitInner","Enter by","Masa berlaku"
"EntryPermitInner","Ministry of Admission","Kementerian Imigrasi"
"EntryTicketInner","Arstotzka","Arstotzka"
"EntryTicketInner","ENTRY TICKET","TIKET MASUK"
"EntryTicketInner","VALID ON","UNTUK TGL"
"EzicNoteInnerOpen","READ QUICKLY","BACA DENGAN CEPAT"
"EzicNoteInnerOpen","RETURN TO MESSENGER","KEMBALIKAN KE PENGIRIM"
"FamilyPhotoInner","HANG ON WALL","GANTUNG DI DINDING"
"FingerprintsInner","GIVE THIS PAPER TO APPLICANT","BERIKAN KERTAS INI KE PEMOHON"
"ForgeryFlyerInnerFront","NEED FORGED<br>OBRISTAN DOCS?","BUTUH DOKUMEN<br>OBRISTAN PALSU?"
"ForgeryFlyerInnerFront","""It looks so real!""","""Terlihat seperti asli!"""
"ForgeryFlyerInnerFront","""Approved for entry!""","""Diizinkan masuk!"""
"ForgeryFlyerInnerFront","Fair rates!","Harga standar!"
"ForgeryFlyerInnerFront","No questions asked!","Tanpa pertanyaan!"
"ForgeryFlyerInnerFront","Fast turnaround!","Cepat!"
"ForgeryFlyerInnerFront","CONDITIONS ON BACK","SYARAT DI BELAKANG"
"ForgeryFlyerInnerBack","PRICING (EACH)","HARGA (MASING-MASING)"
"ForgeryFlyerInnerBack","Passport *","Paspor*"
"ForgeryFlyerInnerBack","Entry Ticket","Tiket Masuk"
"ForgeryFlyerInnerBack","*<br>","*<br>"
"ForgeryFlyerInnerBack","Client must provide existing Obristan passport to be modified with new info","Klien harus menyiapkan paspor Obristan yang lama untuk diubah dengan data baru"
"ForgeryFlyerInnerBack","Service at border Arstotzka/Obristan","Layanan ada di perbatasan Arstotzka - Obristan"
"ForgeryFlyerInnerBack","Ask for Timofei Wee","Tanya pada Timofei Wee"
"GymFlyerInner","Underweight?Weak?Tired?","Kurang Berat Badan?Lemah?"
"GymFlyerInner","JOIN BEST GYM!","AYO KE GIM!"
"GymFlyerInner","GET BIG TOWN","GET BIG TOWN"
"GymFlyerInner","East Grestin","Grestin Timur"
"HintMissingInner","THIS ENTRANT HAS NO DOCUMENTS","PEMOHON INI TIDAK MEMPUNYAI DOKUMEN"
"HintMissingInner","To proceed, use INSPECT mode to interrogate.","Untuk melanjutkan, gunakan mode INSPEKSI untuk interogasi."
"HintMissingInner","Review page 2 of today's bulletin for full instructions.","Buka halaman 2 dari buletin hari ini untuk info lebih lanjut."
"IdCardInner","ARSTOTZKA IDENTITY CARD","KARTU IDENTITAS ARSTOTZKA"
"IdCardInner","DOB","TGL LHR"
"IdCardInner","HT.","TINGGI"
"IdCardInner","WT.","BERAT"
"IdentityRecordInner","M.O.A. IDENTITY RECORD","CATATAN IDENTITAS K.I."
"IdentityRecordInner","NAME:","NAMA:"
"IdentityRecordInner","ALIAS:","ALIAS:"
"IdentityRecordInner","Applicant's fingerprints and claimed name/alias must match this record.","Sidik jari dan nama/alias yang diklaim pemohon harus sesuai dgn catatan ini."
"IdSupplementInner","IDENTITY<br>SUPPLEMENT","IDENTITAS<br>TAMBAHAN"
"IdSupplementInner","HT","BB"
"IdSupplementInner","WT","TB"
"IdSupplementInner","DESCRIPTION","DESKRIPSI"
"IdSupplementInner","THUMB","JEMPOL"
"IdSupplementInner","Keep on person","Simpan baik-baik"
"IdSupplementInner","EXP.","S/D."
"LocketInnerOpen","To Sergiu from your Elisa","Untuk Sergiu dari Elisa"
"LocketInnerOpen","I Love You Always","Aku Selalu Cinta Kamu"
"LoveSongInner1","YOU","KAMU"
"LoveSongInner1","YOU ARE HOT LIKE FIRE","KAMU PANAS SEPERTI API"
"LoveSongInner2","you","kamu"
"LoveSongInner2","OBJECT OF DESIRE","SASARAN HATIKU"
"LoveSongInner3","YOU<br>(AGAIN)","KAMU<br>(LAGI)"
"LoveSongInner3","WRAP MY HEART IN WIRE","BALUT HATIKU OLEH TALI"
"LoveSongInner4","ApPROVED","SaH"
"LoveSongInner4","APPROVE MY VISA","SAHKAN VISAKU"
"tweak-passport-field-padding-left","2px","2px"
"PassportInnerAntegria","ENTRY VISA","VISA MASUK"
"PassportInnerAntegria","DOB.","TL."
"PassportInnerAntegria","SEX","JK."
"PassportInnerAntegria","ISS.","KOT."
"PassportInnerAntegria","EXP.","S/D"
"PassportInnerAntegria","ANTEGRIA","ANTEGRIA"
"tweak-passport-arstotzka-nation","16px","17px"
"PassportInnerArstotzka","ENTRY VISA","VISA MASUK"
"PassportInnerArstotzka","DOB.","TL."
"PassportInnerArstotzka","SEX","JK."
"PassportInnerArstotzka","ISS.","KOT."
"PassportInnerArstotzka","EXP.","S/D"
"PassportInnerArstotzka","ARSTOTZKA","ARSTOTZKA"
"PassportInnerImpor","ENTRY VISA","VISA MASUK"
"PassportInnerImpor","DOB.","TL."
"PassportInnerImpor","SEX","JK."
"PassportInnerImpor","ISS.","KOT."
"PassportInnerImpor","EXP.","S/D"
"PassportInnerImpor","IMPOR","IMPOR"
"PassportInnerKolechia","ENTRY VISA","VISA MASUK"
"PassportInnerKolechia","DOB.","TL."
"PassportInnerKolechia","SEX","JK."
"PassportInnerKolechia","ISS.","KOT."
"PassportInnerKolechia","EXP.","S/D"
"PassportInnerKolechia","KOLECHIA","KOLECHIA"
"PassportInnerObristan","ENTRY VISA","VISA MASUK"
"PassportInnerObristan","DOB.","TL."
"PassportInnerObristan","SEX","JK."
"PassportInnerObristan","ISS.","KOT."
"PassportInnerObristan","EXP.","S/D"
"PassportInnerObristan","OBRISTAN","OBRISTAN"
"PassportInnerRepublia","ENTRY VISA","VISA MASUK"
"PassportInnerRepublia","DOB.","TL."
"PassportInnerRepublia","SEX","JK."
"PassportInnerRepublia","ISS.","KOT."
"PassportInnerRepublia","EXP.","S/D"
"PassportInnerRepublia","REPUBLIA","REPUBLIA"
"PassportInnerUnitedFed","ENTRY VISA","VISA MASUK"
"PassportInnerUnitedFed","DOB.","TL."
"PassportInnerUnitedFed","SEX","JK."
"PassportInnerUnitedFed","ISS.","KOT."
"PassportInnerUnitedFed","EXP.","S/D"
"PassportInnerUnitedFed","UNITED FEDERATION","FEDERASI SERIKAT"
"PlaqueOneInner","Ministry of Admission","Kementerian Imigrasi"
"PlaqueOneInner","RECOGNITION","PENGHARGAAN"
"PlaqueOneInner","FOR","UNTUK"
"PlaqueOneInner","HANG ON WALL","TEMPEL DI DINDING"
"PlaqueTwoInner","Ministry of Admission","Kementerian Imigrasi"
"PlaqueTwoInner","RECOGNITION","PENGHARGAAN"
"PlaqueTwoInner","FOR","UNTUK"
"PlaqueTwoInner","HANG ON WALL","TEMPEL DI DINDING"
"PoisonInnerBack","OPEN","BUKA"
"PoisonInnerOpen1","DO NOT TOUCH POWDER","JANGAN SENTUH BUBUK"
"PoisonInnerOpen1","CLOSE","TUTUP"
"PoisonInnerOpen2","ALIGN POWDER OVER PASSPORT","LETAKKAN BUBUK DIATAS PASPOR"
"PoisonInnerOpen2","PUSH HARD TO AFFIX","TEKAN UNTUK MENEMPEL"
"PoisonInnerOpen2","CLOSE","TUTUP"
"PoliceBadgeInner","MINISTRY OF INFORMATION","KEMENTERIAN INFORMASI"
"PoliceBadgeInner","Office of Investigation","Kantor Investigasi"
"PoliceBadgeInner","East Grestin Division","Divisi Grestin Timur"
"PoliceBadgeInner","Special Investigator","Investigator Spesial"
"PoliceBadgeInner","MOI","KIM"
"PressPassInner","INTERNATIONAL","IDENTIFIKASI"
"PressPassInner","PRESS","PERS"
"PressPassInner","IDENTIFICATION","INTERNASIONAL"
"RuleDiploAccess","AUTHORIZATION MUST GRANT ACCESS<br> TO ARSTOTZKA","OTORISASI HARUS MEMBERIKAN AKSES<br>KE ARSTOTZKA"
"RuleIssuingCity","PASSPORT <span>ISS.</span> FIELD MUST BE VALID","BAGIAN PASPOR <span>KOT.</span> HARUS VALID"
"RuleSealRequired","DOCUMENT MUST<br>HAVE A SEAL","DOKUMEN HARUS<br>MEMPUNYAI STEMPEL"
"RulesInnerHome","Arstotzkan","Arstotzka"
"RulesInnerHome","Ministry<span>of</span>Admission","Kementerian<br>Imigrasi"
"RulesInnerHome","RULES","PERATURAN"
"RulesInnerHome","&amp;","&amp;"
"RulesInnerHome","REGULATIONS","REGULASI"
"RulesInnerHome","for Inspectors","untuk Inspektur"
"RulesInnerHome","CONTENTS","DAFTAR ISI"
"RulesInnerHome","PROPERTY OF","MILIK"
"RulesInnerHome","M.O.A","K.I."
"RulesInnerBasic","RULES","PERATURAN"
"RulesInnerRegion","DIPLOMATIC SEALS","STEMPEL DIPLOMATIK"
"RulesInnerRegion","PASSPORT","PASPOR"
"RulesInnerRegion","ISSUING CITIES","KOTA PENERBITAN"
"RulesInnerRegionArstotzka","DISTRICTS","DISTRIK"
"RulesInnerRegionArstotzka","PASSPORT","PASPOR"
"RulesInnerRegionArstotzka","ISSUING CITIES","KOTA PENERBITAN"
"RulesInnerBooth","INSPECTOR'S BOOTH","STAN INSPEKTUR"
"RulesInnerBooth","Shutter","Penutup"
"RulesInnerBooth","Counter","Konter"
"RulesInnerBooth","Rule Book<br>Audio Trans.<br>Bulletin<br>Time &amp; Date","Buku Aturan<br>Transkr. Audio<br>Buletin<br>Waktu &amp; Tgl."
"RulesInnerBooth","UPGRADES","PENINGKATAN"
"RulesInnerBooth","NO UPGRADES<br>INSTALLED","TIDAK ADA PENINGKATAN<br>YANG DIPASANG"
"RulesInnerBooth2","INSPECTOR'S BOOTH","STAN INSPEKTUR"
"RulesInnerBooth2","Shutter","Penutup"
"RulesInnerBooth2","Counter","Konter"
"RulesInnerBooth2","Audio Trans.<br>Rule Book<br>Weight","Transkrip Audio<br>Buku Aturan<br>Berat Badan"
"RulesInnerBooth2","Bulletin<br>Time &amp; Date","Buletin<br>Waktu &amp; Tanggal"
"RulesInnerBooth2","UPGRADES","PENINGKATAN"
"RulesInnerBooth2","NO UPGRADES<br>INSTALLED","TIDAK ADA PENINGKATAN<br>YANG DIPASANG"
"RulesInnerDocs","OFFICIALLY RECOGNIZED","DIAKUI SECARA RESMI"
"RulesInnerDocs","DOCUMENTS","DOKUMEN"
"RulesInnerDocs","CONTENTS","DAFTAR ISI"
"RulesInnerEntryPermit","ENTRY PERMIT","IZIN MASUK"
"RulesInnerEntryPermit","VALID SEALS","STEMPEL YANG BENAR"
"RulesInnerIdCard","ARSTOTZKAN<br>ID CARD","KITAS<br>ARSTOTZKA"
"RulesInnerIdCard","ISSUED TO ALL ARSTOTZKAN CITIZENS","DITERBITKAN UNTUK SEMUA WARGA ARSTOTZKA"
"RulesInnerIdCard","DISTRICTS","DISTRIK"
"RulesInnerIdSupplement","IDENTITY<br>SUPPLEMENT","IDENTITAS<br>TAMBAHAN"
"RulesInnerIdSupplement","ISSUED TO ALL QUALIFIED FOREIGNERS","DITERBITKAN KEPADA SEMUA PENDATANG YANG TELAH DICEK"
"RulesInnerIdSupplement","FOR VERIFICATION OF FOREIGNER'S PHYSICAL APPEARANCE","UNTUK VERIFIKASI PENAMPILAN FISIK WARGA NEGARA ASING"
"RulesInnerIdSupplement","VERIFY THUMBPRINT ONLY WHEN FINGERPRINT RECORD IS AVAILABLE","CEK SIDIK JEMPOL HANYA JIKA CATATAN SIDIK JARI TERSEDIA"
"RulesInnerIdSupplement","THIS IS A SHORT-ISSUE DOCUMENT - VERIFY EXPIRATION CAREFULLY","DOKUMEN INI BERJANGKA PENDEK - VERIFIKASI TANGGAL KEDALUARSA DENGAN CERMAT"
"RulesInnerAccessPermit","ACCESS PERMIT","IZIN AKSES"
"RulesInnerAccessPermit","VALID SEALS","STEMPEL YANG BENAR"
"RulesInnerAccessPermit","THIS DOCUMENT REPLACES ENTRY PERMIT AND IDENTITY SUPPLEMENT","DOKUMEN INI MENGGANTIKAN IZIN MASUK DAN <br>IDENTITAS TAMBAHAN"
"RulesInnerWorkPermit","WORK PASS","IZIN KERJA"
"RulesInnerWorkPermit","ISSUED TO ALL QUALIFIED FOREIGN LABOR","DITERBITKAN KEPADA SEMUA BURUH NEGARA ASING YANG MEMENUHI SYARAT"
"RulesInnerWorkPermit","VALID SEALS","STEMPEL YANG BENAR"
"RulesInnerDiplomaticAuth","DIPLOMATIC","DIPLOMATIK"
"RulesInnerDiplomaticAuth","AUTHORIZATION","OTORISASI"
"RulesInnerDiplomaticAuth","VALIDATE SEAL WITH COUNTRY PAGE","VALIDASI STEMPEL DENGAN HALAMAN NEGARA"
"RulesInnerAsylumGrant","GRANT OF<br>ASYLUM","IZIN<br>SUAKA"
"RulesInnerAsylumGrant","VALID SEALS","STEMPEL YANG BENAR"
"RulesInnerAsylumGrant","ALWAYS VERIFY FINGERPRINTS","SELALU CEK SIDIK JARI"
"RulesInnerVaccineCert","VACCINE CERTIFICATE","SERTIFIKAT VAKSIN"
"RulesInnerVaccineCert","MINISTRY","KEMENTERIAN"
"RulesInnerVaccineCert","OF","<br>"
"RulesInnerVaccineCert","HEALTH","KESEHATAN"
"RulesInnerVaccineCert","REGULATION DOCUMENT","PERATURAN DOKUMEN"
"RulesInnerVaccineCert","POLIO VACCINATION REQUIRED FOR ALL ENTRANTS","DIPERLUKAN VAKSINASI POLIO UNTUK SEMUA YANG MASUK"
"RulesInnerVaccineCert","NO EXCEPTIONS","TANPA TERKECUALI"
"RulesInnerConfiscation","PASSPORT CONFISCATION","PENYITAAN PASPOR"
"RulesInnerConfiscation","DROP PASSPORT IN CONFISCATION DRAWER","LETAKKAN PASPOR DI TEMPAT PENYITAAN"
"RulesInnerConfiscation","POLICY","KEBIJAKAN"
"RulesInnerConfiscation","PASSPORT MUST BE CONFISCATED BEFORE DETAINING","PASPOR HARUS DISITA SEBELUM MELAKUKAN PENAHANAN"
"RulesInnerConfiscation","MOI","KIM"
"RulesInnerLast","PROPERTY OF","MILIK"
"RulesInnerLast","M.O.A.","K.I"
"RulesInnerLast","GLORY TO ARSTOTZKA","HIDUP ARSTOTZKA"
"RulesInnerLast","Arstotzkan","Arstotzka"
"RulesInnerLast","Ministry of Admission","Kementerian Imigrasi"
"RulesInnerLast","Rules &amp; Regulations","Peraturan &amp; Regulasi"
"RulesInnerLast","for Inspectors","untuk Inspektur"
"RulesInnerLast","1982-1983 Edition","Edisi 1982-1983"
"RulesInnerLast","DO NOT DISTRIBUTE UNDER SEVERE<br>PENALTY","JANGAN MELAKUKAN DISTRIBUSI ULANG<br>DIBAWAH HUKUMAN BERAT"
"RulesTabConfL","CONF.","SITAAN"
"RulesTabConfR","CONF.","SITAAN"
"RulesTabDocsL","DOCS","DOK."
"RulesTabDocsR","DOCS","DOK."
"RulesTabMapL","MAP","PETA"
"RulesTabMapR","MAP","PETA"
"RulesTabRulesL","RULES","ATURAN"
"RulesTabRulesR","RULES","ATURAN"
"RulesUpgrade0","TOGGLE INSPECT","MODE INSPEKSI"
"RulesUpgrade0","SPACE","SPASI"
"RulesUpgrade1","TOGGLE STAMP BAR","KELUARKAN STEMPEL"
"RulesUpgrade1","TAB","TAB"
"RulesUpgrade2","RULEBOOK SHORTCUTS","JALAN PINTAS<br>BUKU ATURAN"
"RulesUpgrade3","QUICK INSPECT","INSPEKSI CEPAT"
"RulesUpgrade3","DOUBLE-CLICK","KLIK DUA KALI"
"RulesUpgrade4","MULTITOUCH","MULTISENTUH"
"SeizureSlipInner","Arstotzka Ministry of Admission","Kementerian Imigrasi Arstotzka"
"SeizureSlipInner","PASSPORT SEIZURE SLIP","SLIP PENYITAAN PASPOR"
"SeizureSlipInner","ENTRY VISA","VISA MASUK"
"SeizureSlipInner","Your passport has been seized.","Paspor anda telah disita."
"SeizureSlipInner","Contact 1509-6103 for redress.","Hubungi 1509-6103 untuk pengambilan kembali."
"SpyDocsInnerBack","Mating Habits of Lesser Kolechian Waterfowl","Kebiasaan Kawin dari Unggas Air Langka Kolechia"
"SpyDocsInnerBack","A FULL REPORT","LAPORAN LENGKAP"
"SpyDocsInnerBack","Ministry of Information","Kementerian Informasi"
"TranscriptInner","AUDIO TRANSCRIPT","TRANSKRIP SUARA"
"VaccineCertInner","Certificate<span>of</span>Vaccination","Sertifikat<br><br>Vaksinasi"
"VaccineCertInner","ID#","NO."
"VaccineCertInner","DATE","TANGGAL"
"VaccineCertInner","VACCINE","VAKSIN"
"VaccineCertInner","Vax valid for 3 years","VAKSIN BERLAKU 3 TAHUN"
"VisaSlipInner","TEMPORARY VISA SLIP","SLIP VISA SEMENTARA"
"VisaSlipInner","ENTRY VISA","VISA MASUK"
"VisaSlipInner","TO BE USED FOR DENIALS ONLY","HANYA DIGUNAKAN UNTUK STEMPEL TOLAK"
"WorkPermitInner","Ministry of Labor","Kementerian Tenaga Kerja"
"WorkPermitInner","Work Pass","Izin Kerja"
"WorkPermitInner","This pass grants its holder the right to work in a specific field for a limited time.","Izin ini memberikan pemilik untuk bekerja di bagian tertentu untuk waktu terbatas."
"WorkPermitInner","HOLDER","PEMILIK"
"WorkPermitInner","FIELD","BAGIAN"
"WorkPermitInner","UNTIL","SAMPAI"
"WorkPermitInner","Keep this pass with you at all times.","Simpan izin ini di anda kapanpun."
"EndNews","Kolechian Consensus Reached Over Grestin","Konsensus Kolechia Mencapai Grestin"
"ApartmentClass","CLASS","KELAS"
"DetainButton","DETAIN","TAHAN"
"FingerprintButton","FINGERPRINT","SIDIK JARI"
"SearchButton","SEARCH","GELEDAH"
"EmblemsMOA","M.O.A","K.I."
"EmblemsMOA","M.O.L","K.T.K"
"EmblemsMOL","M.O.L","K.T.K"
"Filer","CONFISCATED DOCUMENTS","DOKUMEN SITAAN"
"Filer","PROPERTY OF","MILIK"
"Filer","M.O.A.","K.I."
"GiveIcon","GIVE","BERIKAN"
"LoadButtonNew","NEW","BARU"
"LoadDay","DAY","HARI"
"LoadDrag","DRAG TO SCROLL","SERET UNTUK GESER"
"News","The Truth of Arstotzka","Kebenaran Arstotzka"
"News","No Charge","Gratis"
"ReasonButton","REASON","ALASAN"
"RifleKill","KILL","BUNUH"
"RifleTranq","TRANQ","BIUS"
"StampBarMid","ALIGN VISA BENEATH STAMP","LETAKKAN VISA DIBAWAH STEMPEL"
"Upgrades","SPACE","SPASI"
"Upgrades","TAB","TAB"
"image:ArskickersInner.png","capture/ArskickersInner.png","http://i.imgur.com/gjV4Vcx.png"
"ArskickersInner","HANG ON WALL","TEMPEL DI DINDING"
"image:BrothelFlyerInner.png","capture/BrothelFlyerInner.png","capture/BrothelFlyerInner.png"
"BrothelFlyerInner","East Grestin","Grestin Timur"
"BrothelFlyerInner","FOR ALL YOUR FANTASIES","UNTUK SEMUA FANTASI ANDA"
"image:PezpertInner.png","capture/PezpertInner.png","http://i.imgur.com/rc1MkMW.png"
"PezpertInner","STAMP HERE","STEMPEL DISINI"
"image:SonDrawingInner.png","capture/SonDrawingInner.png","http://i.imgur.com/hBNYMUT.png"
"SonDrawingInner","hanG on wAll","temPeL di diNdiNg"
"image:SonDrawingOuter.png","capture/SonDrawingOuter.png","http://i.imgur.com/mz7pgH6.png"
"image:SonDrawingMount.png","capture/SonDrawingMount.png","http://i.imgur.com/vQYYmpW.png"
"image:VictimPhotoInnerBack.png","capture/VictimPhotoInnerBack.png","http://i.imgur.com/Xkl03Ms.png"
"image:Emotions.png","export/Emotions.png","http://i.imgur.com/fqyvpjh.png"
"image:LoadButtonLatest.png","export/LoadButtonLatest.png","http://i.imgur.com/iDv4cTU.png"
"image:InkApproved.png","export/InkApproved.png","http://i.imgur.com/qc6bbyS.png"
"image:InkDenied.png","export/InkDenied.png","http://i.imgur.com/biUA3yr.png"
"image:StampBotApproved.png","export/StampBotApproved.png","http://i.imgur.com/vlgltqE.png"
"image:StampBotDenied.png","export/StampBotDenied.png","http://i.imgur.com/9lrgacC.png"
"image:ReasonStampTop.png","export/ReasonStampTop.png","http://i.imgur.com/AdYMTHx.png"
"image:InkReason.png","export/InkReason.png","http://i.imgur.com/UUCDow0.png"
"image:Arstotzka.png","export/Arstotzka.png","export/Arstotzka.png"
"image:Intro1.png","export/Intro1.png","http://i.imgur.com/SqNwFti.png"
"image:Obrinspector.png","export/Obrinspector.png","http://i.imgur.com/JJsn1Rb.png"
"image:Shutter.png","export/Shutter.png","http://i.imgur.com/cIgy5gE.png"
"news:RANDOM_WEATHER","The Weather","Cuaca"
"news:RANDOM_SPORTS","Sports","Olahraga"
"news:RANDOM_ENTERTAINMENT","Entertainment","Hiburan"
"news:RANDOM_POLITICS","Politics","Politik"
"news:FIRST_DAY","Grestin Border Checkpoint Opens At Last!","Akhirnya Pos Perbatasan Grestin Dibuka!"
"news:FIRST_DAY","After 6 Long Years. Can the Ministry of Admission Keep Us Safe?","Setelah 6 Tahun. Bisakah Kementerian Imigrasi Menjaga Kita?"
"news:FIRST_DAY","Families To Reunite","Para Keluarga Bersatu Kembali"
"news:CHECKPOINT_SUCCESS","Grestin Checkpoint a Success!","Pos Grestin Berjalan Sukses!"
"news:CHECKPOINT_SUCCESS","Entry Restrictions To Relax, Admit Foreigners","Syarat Masuk Dilonggarkan, Orang Asing Bisa Masuk"
